adm_cd(행정경계파일 동이름),대선 득표 데이터 동이름
서울특별시 동작구 사당2동,서울특별시 동작구 사당제2동
서울특별시 동작구 사당3동,서울특별시 동작구 사당제3동
서울특별시 동작구 사당4동,서울특별시 동작구 사당제4동
서울특별시 동작구 사당5동,서울특별시 동작구 사당제5동
서울특별시 동작구 대방동,서울특별시 동작구 대방동
서울특별시 동작구 신대방1동,서울특별시 동작구 신대방제1동
서울특별시 동작구 신대방2동,서울특별시 동작구 신대방제2동
서울특별시 관악구 보라매동,서울특별시 관악구 보라매동
서울특별시 관악구 은천동,서울특별시 관악구 은천동
서울특별시 관악구 성현동,서울특별시 관악구 성현동
서울특별시 관악구 중앙동,서울특별시 관악구 중앙동
서울특별시 관악구 청림동,서울특별시 관악구 청림동
서울특별시 관악구 행운동,서울특별시 관악구 행운동
서울특별시 관악구 청룡동,서울특별시 관악구 청룡동
서울특별시 관악구 낙성대동,서울특별시 관악구 낙성대동
서울특별시 관악구 인헌동,서울특별시 관악구 인헌동
서울특별시 관악구 남현동,서울특별시 관악구 남현동
서울특별시 관악구 신림동,서울특별시 관악구 신림동
서울특별시 관악구 신사동,서울특별시 관악구 신사동
서울특별시 관악구 조원동,서울특별시 관악구 조원동
서울특별시 관악구 미성동,서울특별시 관악구 미성동
서울특별시 관악구 난곡동,서울특별시 관악구 난곡동
서울특별시 관악구 난향동,서울특별시 관악구 난향동
서울특별시 관악구 서원동,서울특별시 관악구 서원동
서울특별시 관악구 신원동,서울특별시 관악구 신원동
서울특별시 관악구 서림동,서울특별시 관악구 서림동
서울특별시 관악구 삼성동,서울특별시 관악구 삼성동
서울특별시 관악구 대학동,서울특별시 관악구 대학동
서울특별시 서초구 서초1동,서울특별시 서초구 서초1동
서울특별시 서초구 서초2동,서울특별시 서초구 서초2동
서울특별시 서초구 서초3동,서울특별시 서초구 서초3동
서울특별시 서초구 서초4동,서울특별시 서초구 서초4동
서울특별시 서초구 잠원동,서울특별시 서초구 잠원동
서울특별시 서초구 반포본동,서울특별시 서초구 반포본동
서울특별시 서초구 반포1동,서울특별시 서초구 반포1동
서울특별시 서초구 반포2동,서울특별시 서초구 반포2동
서울특별시 서초구 반포3동,서울특별시 서초구 반포3동
서울특별시 서초구 반포4동,서울특별시 서초구 반포4동
서울특별시 서초구 방배본동,서울특별시 서초구 방배본동
서울특별시 서초구 방배1동,서울특별시 서초구 방배1동
서울특별시 서초구 방배2동,서울특별시 서초구 방배2동
서울특별시 서초구 방배3동,서울특별시 서초구 방배3동
서울특별시 서초구 방배4동,서울특별시 서초구 방배4동
서울특별시 서초구 양재1동,서울특별시 서초구 양재1동
서울특별시 서초구 양재2동,서울특별시 서초구 양재2동
서울특별시 서초구 내곡동,서울특별시 서초구 내곡동
서울특별시 강남구 신사동,서울특별시 강남구 신사동
서울특별시 강남구 논현1동,서울특별시 강남구 논현1동
서울특별시 강남구 논현2동,서울특별시 강남구 논현2동
서울특별시 강남구 압구정동,서울특별시 강남구 압구정동
서울특별시 강남구 청담동,서울특별시 강남구 청담동
서울특별시 강남구 삼성1동,서울특별시 강남구 삼성1동
서울특별시 강남구 삼성2동,서울특별시 강남구 삼성2동
서울특별시 강남구 대치1동,서울특별시 강남구 대치1동
서울특별시 강남구 대치2동,서울특별시 강남구 대치2동
서울특별시 강남구 대치4동,서울특별시 강남구 대치4동
서울특별시 강남구 역삼1동,서울특별시 강남구 역삼1동
서울특별시 강남구 역삼2동,서울특별시 강남구 역삼2동
서울특별시 강남구 도곡1동,서울특별시 강남구 도곡1동
서울특별시 강남구 도곡2동,서울특별시 강남구 도곡2동
서울특별시 강남구 개포1동,서울특별시 강남구 개포1동
서울특별시 강남구 개포2동,서울특별시 강남구 개포2동
서울특별시 강남구 개포4동,서울특별시 강남구 개포4동
서울특별시 강남구 일원본동,서울특별시 강남구 일원본동
서울특별시 강남구 일원1동,서울특별시 강남구 일원1동
서울특별시 강남구 일원2동,서울특별시 강남구 일원2동
서울특별시 강남구 수서동,서울특별시 강남구 수서동
서울특별시 강남구 세곡동,서울특별시 강남구 세곡동
서울특별시 송파구 풍납1동,서울특별시 송파구 풍납1동
서울특별시 송파구 풍납2동,서울특별시 송파구 풍납2동
서울특별시 송파구 거여1동,서울특별시 송파구 거여1동
서울특별시 송파구 거여2동,서울특별시 송파구 거여2동
서울특별시 송파구 마천1동,서울특별시 송파구 마천1동
서울특별시 송파구 마천2동,서울특별시 송파구 마천2동
서울특별시 송파구 방이1동,서울특별시 송파구 방이1동
서울특별시 송파구 방이2동,서울특별시 송파구 방이2동
서울특별시 송파구 오륜동,서울특별시 송파구 오륜동
서울특별시 송파구 오금동,서울특별시 송파구 오금동
서울특별시 송파구 송파1동,서울특별시 송파구 송파1동
서울특별시 송파구 송파2동,서울특별시 송파구 송파2동
서울특별시 송파구 석촌동,서울특별시 송파구 석촌동
서울특별시 송파구 삼전동,서울특별시 송파구 삼전동
서울특별시 송파구 가락본동,서울특별시 송파구 가락본동
서울특별시 송파구 가락1동,서울특별시 송파구 가락1동
서울특별시 송파구 가락2동,서울특별시 송파구 가락2동
서울특별시 송파구 문정1동,서울특별시 송파구 문정1동
서울특별시 송파구 문정2동,서울특별시 송파구 문정2동
서울특별시 송파구 장지동,서울특별시 송파구 장지동
서울특별시 송파구 잠실본동,서울특별시 송파구 잠실본동
서울특별시 송파구 잠실2동,서울특별시 송파구 잠실2동
서울특별시 송파구 잠실3동,서울특별시 송파구 잠실3동
서울특별시 송파구 잠실4동,서울특별시 송파구 잠실4동
서울특별시 송파구 잠실6동,서울특별시 송파구 잠실6동
서울특별시 송파구 잠실7동,서울특별시 송파구 잠실7동
서울특별시 송파구 위례동,서울특별시 송파구 위례동
서울특별시 강동구 강일동,서울특별시 강동구 강일동
서울특별시 강동구 상일동,서울특별시 강동구 상일동
서울특별시 강동구 명일1동,서울특별시 강동구 명일제1동
서울특별시 강동구 명일2동,서울특별시 강동구 명일제2동
서울특별시 강동구 고덕1동,서울특별시 강동구 고덕제1동
서울특별시 강동구 고덕2동,서울특별시 강동구 고덕제2동
서울특별시 강동구 암사1동,서울특별시 강동구 암사제1동
서울특별시 강동구 암사2동,서울특별시 강동구 암사제2동
서울특별시 강동구 암사3동,서울특별시 강동구 암사제3동
서울특별시 강동구 천호1동,서울특별시 강동구 천호제1동
서울특별시 강동구 천호2동,서울특별시 강동구 천호제2동
서울특별시 강동구 천호3동,서울특별시 강동구 천호제3동
서울특별시 강동구 성내1동,서울특별시 강동구 성내제1동
서울특별시 강동구 성내2동,서울특별시 강동구 성내제2동
서울특별시 강동구 성내3동,서울특별시 강동구 성내제3동
서울특별시 강동구 길동,서울특별시 강동구 길동
서울특별시 강동구 둔촌1동,서울특별시 강동구 둔촌제1동
서울특별시 강동구 둔촌2동,서울특별시 강동구 둔촌제2동
부산광역시 중구 중앙동,부산광역시 중구 중앙동
부산광역시 중구 동광동,부산광역시 중구 동광동
부산광역시 중구 대청동,부산광역시 중구 대청동
부산광역시 중구 보수동,부산광역시 중구 보수동
부산광역시 중구 부평동,부산광역시 중구 부평동
부산광역시 중구 광복동,부산광역시 중구 광복동
부산광역시 중구 남포동,부산광역시 중구 남포동
부산광역시 중구 영주1동,부산광역시 중구 영주제1동
부산광역시 중구 영주2동,부산광역시 중구 영주제2동
부산광역시 서구 동대신1동,부산광역시 서구 동대신제1동
부산광역시 서구 동대신2동,부산광역시 서구 동대신제2동
부산광역시 서구 동대신3동,부산광역시 서구 동대신제3동
부산광역시 서구 서대신1동,부산광역시 서구 서대신제1동
부산광역시 서구 서대신3동,부산광역시 서구 서대신제3동
부산광역시 서구 서대신4동,부산광역시 서구 서대신제4동
부산광역시 서구 부민동,부산광역시 서구 부민동
부산광역시 서구 아미동,부산광역시 서구 아미동
부산광역시 서구 초장동,부산광역시 서구 초장동
부산광역시 서구 충무동,부산광역시 서구 충무동
부산광역시 서구 남부민1동,부산광역시 서구 남부민제1동
부산광역시 서구 남부민2동,부산광역시 서구 남부민제2동
부산광역시 서구 암남동,부산광역시 서구 암남동
부산광역시 동구 초량1동,부산광역시 동구 초량제1동
부산광역시 동구 초량2동,부산광역시 동구 초량제2동
부산광역시 동구 초량3동,부산광역시 동구 초량제3동
부산광역시 동구 초량6동,부산광역시 동구 초량제6동
부산광역시 동구 수정1동,부산광역시 동구 수정제1동
부산광역시 동구 수정2동,부산광역시 동구 수정제2동
